pincode,city,state,pickup,delivery,zone
100100,CONNAUGHT PLACE,DELHI,N,N,d
110000,Delhi Ncr,Delhi,Y,Y,d
110001,Delhi,Delhi,Y,Y,d
110002,Delhi,Delhi,Y,Y,d
110003,Delhi,Delhi,Y,Y,d
110004,Delhi,Delhi,Y,Y,d
110005,Delhi,Delhi,Y,Y,d
110006,Delhi,Delhi,Y,Y,d
110007,Delhi,Delhi,Y,Y,d
110008,Delhi,Delhi,Y,Y,d
110009,Delhi,Delhi,Y,Y,d
110010,Delhi,Delhi,Y,Y,d
110011,Delhi,Delhi,Y,Y,d
110012,Delhi,Delhi,Y,Y,d
110013,Delhi,Delhi,Y,Y,d
110014,Delhi,Delhi,Y,Y,d
110015,Delhi,Delhi,Y,Y,d
110016,Delhi,Delhi,Y,Y,d
110017,Delhi,Delhi,Y,Y,d
110018,Delhi,Delhi,Y,Y,d
110019,Delhi,Delhi,Y,Y,d
110020,Delhi,Delhi,Y,Y,d
110021,Delhi,Delhi,Y,Y,d
110022,Delhi,Delhi,Y,Y,d
110023,Delhi,Delhi,Y,Y,d
110024,Delhi,Delhi,Y,Y,d
110025,Delhi,Delhi,Y,Y,d
110026,Delhi,Delhi,Y,Y,d
110027,Delhi,Delhi,Y,Y,d
110028,Delhi,Delhi,Y,Y,d
110029,Delhi,Delhi,Y,Y,d
110030,Delhi,Delhi,Y,Y,d
110031,Delhi,Delhi,Y,Y,d
110032,Delhi,Delhi,Y,Y,d
110033,Delhi,Delhi,Y,Y,d
110034,Delhi,Delhi,Y,Y,d
110035,Delhi,Delhi,Y,Y,d
110036,Delhi,Delhi,Y,Y,d
110037,Delhi,Delhi,Y,Y,d
110038,Delhi,Delhi,Y,Y,d
110039,Delhi,Delhi,Y,Y,d
110040,Delhi,Delhi,Y,Y,d
110041,Delhi,Delhi,Y,Y,d
110042,Delhi,Delhi,Y,Y,d
110043,Delhi,Delhi,Y,Y,d
110044,Delhi,Delhi,Y,Y,d
110045,Delhi,Delhi,Y,Y,d
110046,Delhi,Delhi,Y,Y,d
110047,Delhi,Delhi,Y,Y,d
110048,Delhi,Delhi,Y,Y,d
110049,Delhi,Delhi,Y,Y,d
110050,Delhi,Delhi,Y,Y,d
110051,Delhi,Delhi,Y,Y,d
110052,Delhi,Delhi,Y,Y,d
110053,Delhi,Delhi,Y,Y,d
110054,Delhi,Delhi,Y,Y,d
110055,Delhi,Delhi,Y,Y,d
110056,Delhi,Delhi,Y,Y,d
110057,Delhi,Delhi,Y,Y,d
110058,Delhi,Delhi,Y,Y,d
110059,Delhi,Delhi,Y,Y,d
110060,Delhi,Delhi,Y,Y,d
110061,Delhi,Delhi,Y,Y,d
110062,Delhi,Delhi,Y,Y,d
110063,Delhi,Delhi,Y,Y,d
110064,Delhi,Delhi,Y,Y,d
